time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
0,0,0,0,0,-1,1,1
2,0,0,0,0,-1,1,1
3,0,0,0,0,-1,1,1
4,0,0,0,0,-1,1,1
5,0,0,0,0,-1,1,1
6,0,0,0,0,-1,1,1
7,0,0,0,0,-1,1,1
8,0,0,0,0,-1,1,1
9,0,0,0,0,-1,1,1
10,0,0,0,0,-1,1,1
11,0,0,0,0,-1,1,1
12,0,0,0,0,-1,1,1
13,0,0,0,0,-1,1,1
14,0,0,0,0,-1,1,1
15,0,0,0,0,-1,1,1
16,0,0,0,0,-1,1,1
17,0,0,0,0,-1,1,1
18,0,0,0,0,-1,1,1
19,0,0,0,0,-1,1,1
20,0,0,0,0,-1,1,1
21,0,0,0,0,-1,1,1
22,0,0,0,0,-1,1,1
23,0,0,0,0,-1,1,1
24,0,0,0,0,-1,1,1
25,0,0,0,0,-1,1,1
26,0,0,0,0,-1,1,1
27,0,0,0,0,-1,1,1
28,0,0,0,0,-1,1,1
29,0,0,0,0,-1,1,1
30,0,0,0,0,-1,1,1
31,0,0,0,0,-1,1,1
32,-0.1196684,-0.3078074,-0.10256,-0.3371714,3.550125,1,1
33,0,0,0.02846563,0.1343639,-1,0.1781883,0.4617686
34,0.1349361,0.2776059,0.1263717,0.1120995,4.003006,1,1
35,-0.07757968,0.2287433,-0.06281525,0.2062799,3.903839,1,1
36,-0.07350427,0.1463446,-0.04023117,0.1442451,3.705673,1,1
37,0.3015381,0.08676714,0.2962241,0.06681329,4.069321,0.8364031,0.7